ID	Source	Source_Reference_ID	Entrez_Gene_ID	Symbol
ILMN_1237206	RefSeq	NM_023130.1	19383	Raly
ILMN_2689357	RefSeq	NM_177921.2	331537	E230019M04
ILMN_1227023	RefSeq	NM_148922.2	17245	Mdm1
ILMN_1236598	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2659306	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2754667	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2727628	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2655659	RefSeq	NM_148922.2	17245	Mdm1
ILMN_1231182	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2728300	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2661100	RefSeq	NM_148922.2	17245	Mdm1
ILMN_2594863	RefSeq	NM_148922.2	17245	Mdm1
ILMN_1220261	RefSeq	NM_146010.1	216350	Tm4sf3
ILMN_1219268	RefSeq	NM_177090.2	320169	D330022A01Rik
ILMN_2964841	RefSeq	NM_008905.1	19024	Ppfibp2
ILMN_2760001	RefSeq	NM_008905.1	19024	Ppfibp2
ILMN_3161942	RefSeq	NM_001011795.1	257980	Olfr1275
ILMN_1224093	RefSeq	NM_145438.1	217325	Llglh2
ILMN_2643883	RefSeq	NM_178309.1	237911	Brip1
ILMN_2918018	RefSeq	NM_011188.1	19181	Psmc2
ILMN_2604435	MEEBO	scl30841.1.1_4	NA	Olfr516
ILMN_3159826	RefSeq	NM_001042607.1	20187	Ryk
ILMN_2684178	RefSeq	NM_144547.1	110542	Amhr2
ILMN_2621799	RefSeq	NM_144547.1	110542	Amhr2
ILMN_2994042	RefSeq	NM_144547.1	110542	Amhr2
ILMN_1220815	RefSeq	NM_016908.2	53420	Syt5
ILMN_2612710	RefSeq	NM_033589.1	93714	Pcdhga6
ILMN_1249517	RefSeq	NM_028990.2	101118	Tmem168
ILMN_2964473	RefSeq	NM_028990.2	101118	Tmem168
ILMN_2752345	RefSeq	NM_028990.2	101118	Tmem168
ILMN_2690676	MEEBO	scl21416.11_167	NA	Clca3
ILMN_2906615	RefSeq	NM_001034869.1	245263	LOC245263
ILMN_2938820	RefSeq	NM_008691.2	18040	Nefm
ILMN_3128725	RefSeq	NM_007912.4	13649	Egfr
ILMN_3052260	RefSeq	NM_007912.4	13649	Egfr
ILMN_2660698	MEEBO	scl20471.26.1_268	NA	Fmn
ILMN_2733843	RefSeq	NM_015826.2	50796	Dmrt1
ILMN_1222333	MEEBO	scl40010.11.1_28	NA	Slc2a4
ILMN_2588572	MEEBO	scl068365.1_71	NA	Rab14
ILMN_3159156	MEEBO	scl33044.19.1_47	NA	Strn4
ILMN_2687098	MEEBO	scl33044.19.1_47	NA	Strn4
ILMN_2752262	MEEBO	scl0258449.1_100	NA	Olfr282
ILMN_2623184	MEEBO	scl071966.3_0	NA	Nkiras2
ILMN_1259198	RefSeq	NM_029626.1	76485	Glt8d1
ILMN_2998630	RefSeq	NM_029626.1	76485	Glt8d1
ILMN_1224678	RefSeq	NM_029626.1	76485	Glt8d1
ILMN_2697918	RefSeq	XM_355244.1	NA	1190005F20Rik
ILMN_2880346	RefSeq	NM_028244.1	72462	2600005C20Rik
ILMN_1249682	MEEBO	scl28143.1.824_3	NA	Zfp28
ILMN_2877507	RefSeq	NM_011822.3	14755	Pigq
ILMN_1259631	MEEBO	scl0001360.1_1	NA	Ap2b1
ILMN_2655488	MEEBO	scl0001360.1_1	NA	Ap2b1
ILMN_1252951	MEEBO	scl0001360.1_1	NA	Ap2b1
ILMN_2711007	MEEBO	scl0001360.1_1	NA	Ap2b1
ILMN_2996941	RefSeq	NM_023788.3	75625	Mageh1
ILMN_2880329	RefSeq	NM_030188.3	78802	4930506L13Rik
ILMN_1223540	MEEBO	scl45099.9.1_107	NA	Akr1c21
ILMN_2481133	MEEBO	scl31869.6.1_15	NA	Tnni2
ILMN_1238502	RefSeq	NM_027017.1	69277	3300002I08Rik
ILMN_2757224	RefSeq	NM_025527.1	66384	Srp19
ILMN_2871111	RefSeq	NM_025527.1	66384	Srp19
ILMN_2626028	RefSeq	NM_025527.1	66384	Srp19
ILMN_2709223	MEEBO	scl000627.1_17	NA	Arhgef10
ILMN_2709220	MEEBO	scl000627.1_17	NA	Arhgef10
ILMN_2542607	RefSeq	NM_028561.1	73526	Speer4b
ILMN_1235654	RefSeq	NM_178244.2	240819	Epdd1
ILMN_2731057	MEEBO	scl0019188.1_50	NA	Psme2
ILMN_2637733	RefSeq	NM_177878.1	330216	BC038925
ILMN_1238995	MEEBO	scl19256.3.3567_0	NA	BC062650
ILMN_1235050	RefSeq	NM_130884.1	170718	Idh3b
ILMN_2678366	MEEBO	scl52097.15_214	NA	Psd2
ILMN_2644074	MEEBO	scl022026.12_16	NA	Nr2c2
ILMN_2792809	RefSeq	NM_026369.1	67771	Arpc5
ILMN_1244135	RefSeq	NM_026369.1	67771	Arpc5
ILMN_1228907	MEEBO	scl34554.11.1_42	NA	Gcdh
ILMN_1222337	MEEBO	scl34554.11.1_42	NA	Gcdh
ILMN_2831116	RefSeq	NM_177010.2	319823	F630003A18Rik
ILMN_2677541	RefSeq	NM_177657.2	228846	D630003M21Rik
ILMN_2963009	RefSeq	NM_177657.2	228846	D630003M21Rik
ILMN_2611410	RefSeq	NM_177635.1	224754	H2-M11
ILMN_2767393	RefSeq	NM_020017.1	17139	Magea3
ILMN_2466190	MEEBO	scl25167.9_473	NA	2810410C14Rik
ILMN_1244624	MEEBO	scl25167.9_473	NA	2810410C14Rik
