ILMN_ID	GSM1847063	GSM1847064	GSM1847065	GSM1847066	GSM1847067	GSM1847068	GSM1847069	GSM1847070
ILMN_1212607	2.5197718519422696	2.0217639742916567	3.2739219355448084	3.8061446116793674	2.3575610126370456	3.250527638962784	1.8797426172610532	3.8568273729444407
ILMN_1212619	4.76138421586754	5.028894429112422	5.000576962631521	4.870041125022786	-0.6743699712165209	3.3059525783561248	2.2441807570408066	2.4237704278734884
ILMN_1212636	9.970944222475358	10.064556859294239	9.92608632170503	9.826148036179156	10.203346779319327	10.227399342411774	10.1651280894504	10.031727389467795
ILMN_1212637	8.19728993198734	8.355971211871399	8.351126079088335	8.273014141440674	8.288112123813173	8.39142705677309	8.12035712483383	8.277072549287272
ILMN_1212648	6.6597733185980035	6.428269881039746	6.782671969026131	6.470561593077122	6.765484357237101	6.38441509819029	6.65388978681181	6.4950185808267875
ILMN_1212653	4.476393353517703	4.915951541652478	5.136874256737063	3.8029448772213525	4.528268746242974	5.200492583086081	4.401620910473147	4.79220984655652
ILMN_1212672	7.014781521396006	7.363573230140343	7.319733530133149	7.107269393592545	7.327672096530709	7.492719254789341	7.576250775687306	7.561920262694159
ILMN_1212682	3.8884130348275208	3.7036500243249795	3.7815538085276987	4.62993358271113	4.36554487313445	3.989387914384557	3.0017561332916016	3.5288925765357755
ILMN_1212693	5.5305624011434515	5.704041678071781	5.768880091887045	5.8694598537530815	5.482558230916281	5.268886100800145	5.47631395838006	5.566636480080331
ILMN_1212695	5.066421187441831	5.18847411783825	4.938872914216585	5.903768112308081	3.3262482624568377	4.098867551064689	4.807623341413043	3.472912719032882
ILMN_1212702	4.494932686132598	6.864215865104355	6.7937840615486245	6.708536277426014	9.274770894913337	7.879953218223803	7.767012486501861	10.846588119777334
ILMN_1212703	5.0615394725127825	5.20337267175276	4.983335675247047	4.9958797360448175	4.743470266861662	4.837196479194319	4.455419286793969	4.683640878602211
ILMN_1212716	4.573161815050145	3.7493701450693564	4.484073666176037	5.558620916365077	3.010145522090193	2.883851668118858	3.7701249659042957	3.364423953127055
ILMN_1212717	6.10172045282013	6.015605057447087	5.952620119773398	6.473257815602564	5.810298621447952	5.813636786246602	5.9281980895373865	5.729904292775478
ILMN_1212720	3.0866937647034716	3.696900778317251	3.924355518436791	3.8923045587710026	4.198865780473706	4.243471062357467	3.975676954812793	4.1624461148791045
ILMN_1212759	7.074893930392106	6.928504162902208	6.929601655236419	6.934314802683488	7.202978899936977	7.126665243392802	7.07121134396213	6.898291805794022
ILMN_1212791	3.5273781643801607	3.745757942435248	2.919017180121955	3.9662514113910503	4.208520381167466	4.649687879387199	4.4924454414732535	3.6313313230414925
ILMN_1212794	7.055560100456447	7.148116562604294	7.314653932900096	7.134483821510794	6.566631914017011	6.825340439545006	7.208208016414702	6.7928319317983465
ILMN_1212812	1.1157843677885633	2.577312803496961	-0.5448758202219779	-1.1713869395158518	0.46693611470637697	1.4567572702098217	2.5781745463774297	2.1886610800229
ILMN_1212835	2.623608913755895	0.3810850921515248	3.033843898724069	3.3350858826482304	2.8831124601870193	3.186429879069178	1.1845767385851702	-2.181949849776399
ILMN_1212836	7.356924647768644	7.21925469229037	6.883108793506835	6.7755075684090365	6.8381122190013715	6.151577367974084	6.606327329123691	6.9538076611522035
ILMN_1212850	2.8326518738982975	2.005779745641712	2.3600116370952553	2.177654416531482	1.7253664215090097	3.0723397691455157	3.9391654452872205	3.753505058770683
ILMN_1212894	8.308814995469561	8.449773471507816	8.223693319464335	8.332835014083054	8.174620138256781	8.058065344342417	8.207789895906895	8.351500243246536
ILMN_1212902	4.5962148073756834	4.38900297677038	3.9548886378611976	4.2384108540460685	3.7590482136865253	4.123123180123305	2.4157624516994236	2.5525900410389006
ILMN_1212938	6.873054009178808	6.5696932580386775	6.529600622054066	6.933598602761426	5.771415252981789	5.207584840845379	5.49167835934877	5.222545699541782
ILMN_1212941	9.75300459221212	9.355139191912157	9.5908501166202509	9.593977979533571	10.249087372534778	10.203346779319327	9.830585715884592	9.739223672622341
ILMN_1212949	4.110916927518334	-3.4701298902598046	3.8472402951649247	3.0836524935307064	2.8278011432158574	2.7311678150819074	3.1581427802826756	3.849835171087313
ILMN_1212975	7.059062113867985	7.166350909564275	7.101080633642477	7.30466709413141	7.1081731491290245	7.213737067826974	7.107269393592545	7.044313238732971
ILMN_1212982	7.138471485044731	7.068010785785633	6.877778599422007	6.782226381721811	7.075770065883066	6.877778599422007	7.195176307492722	7.282214598005938
ILMN_1212993	5.788427056678589	5.941990113557174	5.91515133610337	5.904715295942685	6.249883316862393	6.2494887654013365	6.064100130676069	6.65388978681181
ILMN_1212997	1.5348166277742568	2.4187920024062306	2.166464477743154	2.379951657277003	3.986450984274584	3.29584025711303	2.2431051133767665	2.100798392659726
ILMN_1213001	8.426861420558113	8.701763199757918	8.556230134415912	9.14456112528565	8.469606410749037	8.39654955529985	8.492189685905291	8.244665901220534
ILMN_1213014	5.2717244635105684	5.204807042279939	5.232254366034342	5.094442576691573	5.507462306450911	5.461307541465414	5.744404664376422	5.482558230916281
ILMN_1213026	7.214093712452257	7.418690890463873	7.5309836897557405	7.401470052039099	7.704838081745879	7.6470007209167346	7.61122993321945	7.5957169817084385
ILMN_1213030	6.102148941476775	6.074057735831577	6.201105494980507	6.242228255983175	6.408793027323094	6.106295130452744	6.177585974033924	6.059839786714276
ILMN_1213053	3.7919442724200607	4.535470107865243	1.5836278715679986	1.8045273560762105	3.6454123067330904	2.891050105247564	3.8578705501073545	2.853075261421411
ILMN_1213055	8.614502257751989	8.834090178788326	8.928587954561966	8.952626234622121	8.991729023748242	9.035576625505588	9.152037357045392	9.139234129254067
ILMN_1213068	5.756325205949463	5.4231162463906255	5.655061256601295	5.454988167683335	6.224677411309794	6.044161083430411	5.930449242806271	6.214779543921915
ILMN_1213070	9.658938003849576	9.8774605288312	10.04990162876335	9.635805350417288	9.740283862258586	9.781666909283116	9.898067287338412	9.837453380162957
ILMN_1213093	1.4498413029219108	2.901102062781555	1.7740022308682586	2.7584669263061414	3.917991156713708	3.360551098371177	3.616529436183952	2.6222566236745952
ILMN_1213101	4.2013107867605965	4.353762949706827	4.648502257742048	4.858075513430547	4.368063588743384	4.494320878420436	5.030730249326343	4.740997157615294
ILMN_1213110	1.9838261515049445	4.577714619519261	3.7911514251086986	2.4610342181548255	3.87992822995437	2.6057301807527797	3.588348856655623	3.3757692851551138
ILMN_1213117	6.00030721624692	5.979800604474153	6.223703261192831	5.743472421167568	6.760359353373528	6.806829273115123	6.637056494441411	6.493381703268948
ILMN_1213144	8.510400630208455	8.726452854971566	8.60884656601423	8.8174093314160409	8.52775300748952	8.546661063870541	8.607574441484767	8.691502061247437
ILMN_1213148	6.390984375181717	6.653244929399563	6.639020403844119	6.331861936999092	7.296038854970986	7.140885995170583	6.9424370903576005	6.9962576685753035
ILMN_1213167	9.01326823107593	8.935957650974228	8.964606276159019	9.093237430851174	9.327402865475124	9.308598418861722	9.1719691238722	9.089500004629853
ILMN_1213200	7.892273225296927	7.5948306715527005	7.774113644773075	7.686411581591813	7.60869394071853	7.429316347926905	7.79212978891276	7.425289767394573
ILMN_1213231	9.417632930114795	9.30138553077005	9.390446718132281	9.630987473483662	9.56731346733556	9.634807602217185	9.585297400031926	9.415049192951022
