gene_id	Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem	Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem	Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem	Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem
ENSDARG00000062272	4.0864282485678665	4.28697366378883	4.406035405709206	4.473884843936375	4.325047181088054	4.437470079632277	4.088305122791628	4.300663048099978	4.397766281612602	4.65868035843365	4.439606273131182	4.3659836275111275
ENSDARG00000042056	3.4501634204754055	3.481023779860262	3.650981926231227	3.3670660390636264	3.220990866337382	3.929086958402256	3.498845687653022	3.4822752456113326	3.5714725244051073	3.3945303319168882	3.4507663593792595	3.33363219195776
ENSDARG00000018891	2.0065193045334517	2.038295527584107	2.0681691911873914	1.8638137144906857	1.6533134767032456	2.322137764749809	1.6494149698976157	2.035657357686639	1.7336588548520335	2.1312050909159455	1.681026517177282	1.7690570318633503
ENSDARG00000101089	-0.832122118896816	-0.23739757584250398	0.5237814891389849	-0.1399914545726304	0.07114342548151731	-0.10969199654162187	-0.5824677785647969	0.21455611520001483	0.17900062272250228	-0.9102035860841999	0.16105503660556897	-0.0694347042618979
ENSDARG00000054292	1.44615138064135	1.72927543800122	1.2343352021566427	1.2711846576334924	0.3258404236937964	2.3822360600683146	1.6129198209443643	0.9791220073698677	1.4452458459462125	1.1412617555784634	1.7919253498530192	1.5490905202798486
ENSDARG00000100128	5.49476146101885	4.87889706149276	4.934787063446538	4.869758496727444	5.281040463227143	5.071441385008817	5.18455541882803	5.327009526114873	4.917888181244418	4.862888701617088	4.9243419508954025	4.897381443106832
ENSDARG00000095614	4.060644586747705	4.18305354899851	4.293410030831479	4.263029060285679	4.493946441781128	4.257765258847739	4.2567963105420965	4.9200960363942	3.983112398088787	4.01053258530007	4.454364488727143	4.09268050509769
ENSDARG00000021480	1.9688338176871782	1.8841019235021013	1.2962061085696273	2.047995412755094	1.7804063537602461	1.725675908438859	1.869628673802993	2.1465058787015225	2.438385447447792	1.7236973940804106	2.0204616458597644	1.6693971131019447
ENSDARG00000063375	2.554057039156792	1.8903649385611003	1.8969019769158484	2.0723721098922545	1.69892558177682	1.937826531415921	1.877948482227762	1.696986424064756	2.047535497891291	1.9878940437984496	1.6995150141031805	1.7848989385177785
ENSDARG00000067781	2.713645462741219	2.5617946700921803	0.5907873671451509	2.262789238832677	2.90483666257153	2.2446900966297374	0.7607386430233256	-0.42221052541168724	1.9947224778566954	3.0209338481250665	3.492936750051351	-0.44193034759109473
ENSDARG00000027355	-1.0378388332051243	-0.9930596840784718	-0.3081797502099253	0.20593197244449613	1.3617763827229679	2.0484210925166098	-0.6698461230582238	-0.403125679731704	0.47534132293306675	1.1164469064656704	0.3258404236937964	0.5863798668692599
ENSDARG00000036494	1.2038476915988032	1.145714908361859	1.6377881079041998	1.4091785331143298	1.0848959583189952	1.5287904442315057	1.0380401261850216	1.3235857009953569	1.385215036849433	1.172893913999817	1.7355590392981721	1.439831235651642
ENSDARG00000010192	1.9833914280541776	2.1542558362677884	1.454263235545072	1.7685056250080233	0.3110054431933511	1.1641341304000412	2.1348875243961065	1.3470672223760611	1.5280247041192636	1.4063254274438521	1.4370855286925392	2.1129918705357023
ENSDARG00000016477	4.630430212708601	4.838249517123786	5.011149529385148	5.128159415678164	4.832024752158771	5.0066220284903995	4.631569944626708	5.324890389617632	4.873041461388952	5.166555125433557	4.813557404565255	4.88935221644131
ENSDARG00000103647	1.9598371859680455	1.602219797374802	1.4241265044413733	1.181428544379294	1.3820654785080517	0.9359688655584919	1.1965284397945246	1.8177700639005567	1.662146227154924	0.9771556859784258	1.036205692043687	1.3596912151520244
ENSDARG00000099519	2.4735765265568253	2.939844709827543	2.678130296869501	3.1478631111260684	3.1261439971999176	3.0706415268703537	2.9844142315800513	2.83925019324593	2.825505541205688	3.2399211695858896	3.1924394570579406	2.7933911746632973
ENSDARG00000060383	2.7718890458283676	3.134158246036001	2.9489015797965576	2.9844142315800513	3.140669164104328	2.9589981884444096	3.557112158835934	2.8748003616383104	3.304220259688967	2.6989389212818367	3.048018141207699	3.216388653296157
ENSDARG00000039850	0.5286326335009313	0.41139701363937897	1.0453480398868011	1.1855695118364098	-0.00928773332107724	0.27286059365062254	1.0194275824268493	0.9008987397675119	1.178674428772036	0.5237814891389849	-0.09504817541637811	0.6129120238652734
ENSDARG00000036483	3.74860695129059	3.677427035201085	4.01548007938571	2.9631228649216643	3.8115592212862492	2.2747546615732244	3.244035826834028	4.128014920896058	1.7040316120058492	1.6778609235646482	3.5019053354254885	1.3159537346849746
ENSDARG00000037679	2.2065614422334514	2.4207213802905123	3.0489370375814007	2.81977227850334	2.723177707191403	2.268621672860486	2.491338463820185	2.803105787907949	2.397716949249423	2.811847489788116	3.01263516665258	2.8169834135381304
ENSDARG00000102106	-0.42221052541168724	0.12293493869820349	0.04980291374234369	-0.03293807903486057	0.0017394584376431155	-0.20288014487362904	-0.28959137261741086	0.14189212510853766	-0.12541251306389523	-0.08258987260790374	-0.2185920480818453	-0.48686263356914683
ENSDARG00000061636	3.381418114481113	3.5777720441890954	3.5467503203597137	3.5541065738446536	3.409200913917998	3.5274744343639446	3.2386266236848353	3.8567754048993774	3.2811363079463196	3.3399244143349565	3.723512814870104	3.703578324184033
ENSDARG00000102091	0.9853606856215689	1.4162079005415453	1.0453480398868011	0.577170753973089	0.7067769995774174	1.8456060149437226	1.1412617555784634	0.9557687885493835	0.9874042110095482	1.4763689819503258	1.0831337405329915	1.1868884236799042
ENSDARG00000038248	1.451637471979696	1.8995181697314734	2.0055647422341396	1.9458884166736918	1.5295495628565696	1.4370855286925392	1.685511308113111	1.4930801269537195	1.3402811810439403	1.7040316120058492	1.6925637765687243	1.681026517177282
